Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
NiC4H8N2O4,1.326,-2.591,-3.916,4.23
Sn2,0.065,-2.1,-2.165,4.269
Al2Se2,2.138,0.145,-1.992,4.723
Au2I2,0.829,-0.541,-1.37,4.588
BN,4.667,1.023,-3.644,3.487
In2Br2,1.338,-0.704,-2.042,5.365
Sn2Br2,0.035,-0.418,-0.453,4.562
Cu2Cl2,1.228,-1.091,-2.319,4.749
Tl2Cl2,2.659,-1.395,-4.053,4.252
Pb2F2,0.122,-1.298,-1.42,5.215
Sn2F2,0.316,-4.252,-4.568,6.875
Fe2I2,0.011,0.279,0.268,3.503
H2Si2,2.171,-1.123,-3.294,4.095
HgTe,0.153,-2.884,-3.037,5.03
Ir2Se2,0.073,1.175,1.102,4.381
Pb2S2,0.17,-2.088,-2.257,4.38
Sn2S2,0.067,-1.679,-1.746,3.847
Tl2S2,0.628,-1.66,-2.289,5.986
BaCl2,4.747,-0.081,-4.828,5.469
CaCl2,5.53,-0.577,-6.108,5.178
CdF2,3.791,-3.183,-6.974,6.715
CoCl2,0.168,-3.426,-3.594,5.966
CrTe2,0.453,0.225,-0.228,4.548
Ge2S4,0.284,-1.614,-1.898,4.407
HgBr2,1.982,-2.032,-4.014,5.916
MnCl2,1.713,-1.81,-3.523,5.899
Mo2S4,0.051,-1.386,-1.437,5.78
MoTe2,0.932,0.921,-0.011,4.3
Os2O4,0.169,-2.147,-2.317,6.142
Os2Te4,0.117,-2.148,-2.265,4.961
PbO2,0.047,-4.743,-4.79,8.307
PtCl2,0.403,-1.961,-2.364,5.26
Pt2Se4,1.441,-1.155,-2.596,4.67
SnS2,0.763,-1.84,-2.603,6.006
SrF2,6.021,-0.628,-6.648,5.014
SrH2O2,3.702,0.236,-3.467,3.144
ScO2,1.464,-3.284,-4.747,6.725
SnBr2,1.27,-2.689,-3.959,5.285
TiBr2,0.758,0.547,-0.211,3.496
TiO2,2.701,-2.445,-5.146,6.951
VSe2,0.248,-1.175,-1.422,5.434
Zn2Te4,0.959,-1.211,-2.17,4.185
ZrSe2,0.337,-1.301,-1.638,5.289
Au2MoSe4,0.592,-1.088,-1.68,4.335
Cu2WSe4,1.235,-0.981,-2.215,4.561
Ag2ReCl6,0.778,-2.757,-3.535,5.942
Al2Br6,2.504,-1.615,-4.12,5.474
Co2Br6,0.027,-3.53,-3.557,6.113
W2Cl6,0.706,0.01,-0.696,4.186
Cu2Cl6,0.426,-4.232,-4.659,7.168
Ga2I6,1.153,-1.581,-2.733,5.3
In2Cl6,3.761,-1.668,-5.428,6.319
Pb2Se6,0.578,-0.879,-1.457,4.976
Sc2Br6,2.975,-1.459,-4.434,5.659
Tl2Cl6,1.683,-3.814,-5.496,7.118
HfZr3S8,1.154,-1.803,-2.956,6.306
Cr3WS8,0.863,-0.546,-1.409,5.348
AsBrTe,1.064,-1.027,-2.092,5.185
AsIS,0.222,-1.043,-1.265,4.942
BiClS,1.43,-2.242,-3.672,6.438
BiIS,0.777,-2.15,-2.928,5.822
TiBrCl,0.83,0.479,-0.351,3.646
Cr2Br2S2,0.455,-1.777,-2.232,5.703
In2Br2S2,1.908,-1.215,-3.123,5.672
Tl2Br2O2,1.013,-2.304,-3.317,6.605
BrSSb,1.426,-1.388,-2.814,5.648
CrClI,0.022,-1.443,-1.465,4.963
Zr2Cl2N2,1.849,-0.563,-2.412,5.636
Rh2Cl2S2,0.011,-2.337,-2.348,6.235
ClSbSe,1.674,-1.293,-2.966,5.653
ISbTe,1.011,-0.495,-1.506,4.847
ZrSSe,0.829,-1.652,-2.481,6.055
VSeTe,0.12,-0.728,-0.848,5.048
Au2Br2Se4,0.841,-2.418,-3.259,5.288
Cu2I2S4,0.854,-2.042,-2.896,5.264
Hg2P2Te6,0.363,-0.658,-1.021,4.601
Rh2P2Te6,0.108,-0.274,-0.383,4.232
