Formula              ✕,Band gap              ✕,2D plasma frequency (x)              ✕,2D plasma frequency (y)              ✕,Band gap (G₀W₀)              ✕,Band gap (HSE06)              ✕,"Conduction band effective mass, direction 1              ✕","Conduction band effective mass, direction 2              ✕",Cond. band minimum              ✕,Conduction band minimum (G₀W₀)              ✕,Conduction band minimum (HSE06)              ✕,Dir. band gap              ✕,Direct band gap (G₀W₀)              ✕,Direct band gap (HSE06)              ✕,Dir. gap wo. soc.              ✕,Exc. bind. energy              ✕,Gap wo. soc.              ✕,Phonon dynamic stability (low/high)              ✕,Thermodynamic stability level              ✕,Energy              ✕,Vacuum level              ✕,"Valence band effective mass, direction 1              ✕","Valence band effective mass, direction 2              ✕",Val. band maximum              ✕,Valence band maximum (G₀W₀)              ✕,Valence band maximum (HSE06)              ✕,Work function (avg. if finite dipole)              ✕,First class material              ✕,Calculator              ✕,Anisotropic exchange (out-of-plane)              ✕,Area of unit-cell              ✕,Topology              ✕,Crystal type              ✕,DOS at ef              ✕,DOS at ef no soc.              ✕,Energy above convex hull              ✕,Fermi level              ✕,Heat of formation              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>x</sub>)              ✕,Magnetic anisotropy (E<sub>z</sub> - E<sub>y</sub>)              ✕,Magnetic easy axis              ✕,Magnetic moment              ✕,Magnetic state              ✕,Material class              ✕,Material has inversion symmetry              ✕,Magnetic              ✕,Material unique ID              ✕,Maximum force              ✕,Maximum stress              ✕,Maximum value of S_z at magnetic sites              ✕,Minimum eigenvalue of Hessian              ✕,Monolayer reported DOI              ✕,Nearest neighbor exchange coupling              ✕,Charge              ✕,Number of atoms              ✕,Number of nearest neighbors              ✕,n-spins              ✕,Out-of-plane dipole along +z axis              ✕,Path to collection folder              ✕,PBC              ✕,Point group              ✕,Unique ID              ✕,Related COD id              ✕,Related ICSD id              ✕,Single-ion anisotropy (out-of-plane)              ✕,"Soc. total energy, x-direction              ✕","Soc. total energy, y-direction              ✕","Soc. total energy, z-direction              ✕",Space group              ✕,Space group number              ✕,Speed of sound (x)              ✕,Speed of sound (y)              ✕,Static interband polarizability (x)              ✕,Static interband polarizability (y)              ✕,Static interband polarizability (z)              ✕,Static lattice polarizability (x)              ✕,Static lattice polarizability (y)              ✕,Static lattice polarizability (z)              ✕,Static total polarizability (x)              ✕,Static total polarizability (y)              ✕,Static total polarizability (z)              ✕,Stiffness dynamic stability (low/high)              ✕,"Stiffness tensor, 11-component              ✕","Stiffness tensor, 12-component              ✕","Stiffness tensor, 13-component              ✕","Stiffness tensor, 21-component              ✕","Stiffness tensor, 22-component              ✕","Stiffness tensor, 23-component              ✕","Stiffness tensor, 31-component              ✕","Stiffness tensor, 32-component              ✕","Stiffness tensor, 33-component              ✕",Stoichiometry              ✕,Mass              ✕,Age              ✕,ID              ✕,Unique identifier              ✕,Username              ✕,Vacuum level difference              ✕,Volume              ✕
Se2Si2,1.195,0.000,0.000,2.438,1.814,0.220,0.535,-0.646,-0.380,-0.391,1.523,2.755,2.203,1.536,0.806,1.21,high,1,-17.506,3.183,-0.651,-0.179,-1.841,-2.819,-2.205,4.426,True,unknown,-,17.233,-,AB-31-a,0.0,0.0,0.402,-1.243,0.064,0.0,0.0,z,-,NM,-,False,False,aa0e94e8944e87f5038ec8952a9f63cb,-,-,-,-0.000,-,-,0.0,4,-,1,0.0,tree/AB/SeSi/Se2Si2-aa0e94e8944e,TTF,mm2,b778fe4668c50105460b29b6b3441f4d,-,-,-,0.0,0.0,0.0,Pmn2_1,31,2280.320,4813.375,4.764,4.367,0.376,1.775,1.847,0.018,6.540,6.215,0.393,high,10.728,15.869,0.000,15.231,47.800,0.000,0.000,-0.000,28.520,AB,214.112,6w,1178,Se2Si2-aa0e94e8944e,cmr,0.0,294.853
Tl2Se2,0.449,0.000,0.000,-,0.834,0.147,0.147,-1.470,-,-1.495,0.492,-,0.876,0.564,-,0.485,high,3,-12.741,3.92,-36.156,-1.605,-1.919,-,-2.329,5.615,True,unknown,-,15.489,Trivial,AB-164-cd,0.0,0.0,0.078,-1.695,-0.195,0.0,0.0,z,-,NM,-,True,False,16490f81af269c3a3d9e12660d41ab19,-,-,-,-0.000,-,-,0.0,4,-,1,-0.0,tree/AB/SeTl/Se2Tl2-16490f81af26,TTF,-3m,64f5f54f3bd40f904f2ca0890050b858,-,-,-,0.0,0.0,0.0,P-3m1,164,2474.009,2479.998,5.995,5.994,0.590,4.494,4.491,0.021,10.490,10.485,0.611,high,37.186,8.710,-0.008,8.897,37.366,-0.005,-0.005,-0.008,29.144,AB,566.702,6w,1179,Se2Tl2-16490f81af26,cmr,-0.0,316.957
Zn2Se2,1.621,0.000,0.000,-,2.634,0.138,0.138,-0.906,-,-0.569,1.621,-,2.634,1.752,-,1.752,high,3,-11.776,3.199,-0.265,-0.264,-2.528,-,-3.202,4.916,True,unknown,-,14.384,-,AB-164-d,0.0,0.0,0.108,-1.717,-0.61,0.0,0.0,z,-,NM,-,True,False,4349b5bd2e7949eac6e7cd63da220147,-,-,-,-0.000,-,-,0.0,4,-,1,0.0,tree/AB/SeZn/Se2Zn2-4349b5bd2e79,TTF,-3m,540b276cbca2a1c78bf5e37075b23b42,-,-,-,0.0,0.0,0.0,P-3m1,164,4149.866,4155.662,3.109,3.088,0.415,1.797,1.797,0.040,4.906,4.885,0.456,high,57.395,19.873,-0.004,20.338,57.555,0.003,0.013,-0.012,37.854,AB,288.702,6w,1180,Se2Zn2-4349b5bd2e79,cmr,0.001,271.23
Ti2Te2,0.0,7.174,7.262,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-21.581,3.935,-,-,-,-,-,4.585,True,unknown,-,16.066,-,AB-123-eg,4.708,4.588,0.259,-0.65,-0.448,0.0,0.0,z,-,NM,-,True,False,3ef29169fcc9db5104cb4cf5bab576d4,-,-,-,-0.719,-,-,0.0,4,-,1,-0.0,tree/AB/TeTi/Te2Ti2-3ef29169fcc9,TTF,4/mmm,41962e980ebb2cb7fadf47be2b21a015,-,-,-,0.0,0.0,0.0,P4/mmm,123,3640.534,3652.690,82.953,86.631,1.008,-,-,-,-,-,-,high,48.072,18.259,-0.000,17.995,48.393,-0.000,-0.000,-0.000,30.111,AB,350.934,6w,1181,Te2Ti2-3ef29169fcc9,cmr,-0.0,288.659
W2Te2,0.0,2.796,2.796,-,0.097,-,-,-,-,2.512,0.0,-,0.097,0.0,-,0.0,low,1,-26.688,6.466,-,-,-,-,2.415,4.089,True,unknown,-,9.057,-,AB-187-hi,1.389,0.746,0.775,2.377,0.673,0.0,0.0,z,-,NM,-,False,False,7bf338493d0299f20c9a7bb30292793f,-,-,-,-4.559,-,-,0.0,4,-,1,-0.0,tree/AB/TeW/Te2W2-7bf338493d02,TTF,-6m2,b727bdcb30b00931f5dde9e3287d1151,-,-,-,0.0,0.0,0.0,P-6m2,187,3594.964,3597.347,96.064,96.064,0.856,-,-,-,-,-,-,high,147.595,37.522,0.005,37.771,147.791,0.005,0.000,0.000,113.382,AB,622.88,6w,1182,Te2W2-7bf338493d02,cmr,-0.0,195.064
AgCl2,0.0,2.036,2.036,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-6.916,3.094,-,-,-,-,-,7.29,True,unknown,0.045,11.648,-,AB2-187-bi,2.913,2.822,0.163,-4.197,-0.169,0.217,0.217,y,0.981,FM,-,False,True,5d923329973d6cfef4e51db4540479fb,-,-,0.500,-6.272,-,27.512,0.0,3,6,2,0.0,tree/AB2/AgCl2/AgCl2-5d923329973d,TTF,-6m2,977880d2e5f7e790f8c694b33b96638c,-,-,0,-556568.35,-556568.35,-556568.133,P-6m2,187,4095.394,,28.595,28.595,0.385,-,-,-,-,-,-,low,42.746,-2.063,0.541,62.005,-31.344,1.282,0.000,0.000,-99.099,AB2,178.768,6w,1183,AgCl2-5d923329973d,cmr,0.0,212.284
Ag2Te4,0.0,3.231,5.290,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-17.927,2.423,-,-,-,-,-,4.595,True,unknown,-,45.572,-,AB2-14-de,6.92,12.142,0.124,-2.172,0.095,0.0,0.0,z,-,NM,-,True,False,c4591ec1f3b449591daf9b5dd655d326,-,-,-,-1.182,-,-,0.0,6,-,1,0.0,tree/AB2/AgTe2/Ag2Te4-c4591ec1f3b4,TTF,2/m,673a0aadfdd7909c6a6ec26f586876a0,-,-,-,0.0,0.0,0.0,P2_1/c,14,2386.248,2698.176,26.423,39.192,0.292,-,-,-,-,-,-,high,15.066,2.919,0.000,3.906,19.262,0.000,-0.000,0.001,9.848,AB2,726.136,6w,1184,Ag2Te4-c4591ec1f3b4,cmr,0.0,757.023
AsI2,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-6.748,3.894,-,-,-,-,-,4.359,True,unknown,-,13.547,-,AB2-187-bi,2.463,2.813,0.479,-0.465,0.291,-6.39,-6.389,z,0.603,FM,-,False,True,2ce43d49992640e2c2764f062fb8fa2b,-,-,-,-10.385,-,-,0.0,3,-,2,-0.0,tree/AB2/AsI2/AsI2-2ce43d499926,TTF,-6m2,6237ac964c128346bebbbdedb509e7f7,-,-,-,-126976.031,-126976.031,-126982.42,P-6m2,187,3706.756,4557.401,-,-,-,-,-,-,-,-,-,high,55.364,-19.847,-0.015,-47.717,83.690,-0.020,0.000,-0.000,228.455,AB2,328.731,6w,1185,AsI2-2ce43d499926,cmr,-0.0,245.57
AuF2,0.0,2.801,2.803,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-7.861,2.38,-,-,-,-,-,7.911,True,unknown,-23.758,11.004,-,AB2-115-dg,1.76,2.31,0.411,-5.531,-0.519,22.638,22.638,y,0.998,FM,-,False,True,6e9ebf5d9e9e0408807c332bae2a23f4,-,-,0.500,-4.957,-,6.576,0.0,3,4,2,0.0,tree/AB2/AuF2/AuF2-6e9ebf5d9e9e,TTF,-42m,c4236cccef645971f6cf4fa46d4b01b1,-,-,0,-289964.875,-289964.875,-289942.237,P-4m2,115,1576.944,1577.014,9.773,9.687,0.280,-,-,-,-,-,-,low,8.817,3.480,-0.000,3.480,8.818,-0.000,0.000,0.000,-7.754,AB2,234.963,6w,1186,AuF2-6e9ebf5d9e9e,cmr,0.0,195.101
Au2Se4,0.0,2.255,7.158,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-20.02,2.41,-,-,-,-,-,4.62,True,unknown,-,39.177,-,AB2-14-de,3.635,3.532,0.106,-2.21,0.028,0.0,0.0,z,-,NM,-,True,False,184bf500e0c1814abff68c40047a5580,-,-,-,-0.517,-,-,0.0,6,-,1,0.0,tree/AB2/AuSe2/Au2Se4-184bf500e0c1,TTF,2/m,86c29ca7d0844944b356feb4e1dff44c,-,-,-,0.0,0.0,0.0,P2_1/c,14,3202.848,2977.951,6.364,30.964,0.248,-,-,-,-,-,-,high,30.863,10.061,-0.001,10.037,26.681,-0.000,0.000,0.000,18.520,AB2,709.817,6w,1187,Au2Se4-184bf500e0c1,cmr,0.0,644.043
BaI2,3.873,0.000,0.000,-,4.874,0.486,2.001,0.277,-,0.613,4.082,-,5.101,4.339,1.556,4.164,high,3,-10.232,2.945,-0.865,-0.865,-3.596,-,-4.260,4.604,True,unknown,-,23.344,-,AB2-164-bd,0.0,0.0,0.021,-1.66,-1.816,0.0,0.0,z,-,NM,-,True,False,080cc67ae6c9b8cdf6a093be8acc8b62,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/BaI2/BaI2-080cc67ae6c9,TTF,-3m,cdcebd5a7fa00f4845933dfe1d83ed9b,-,-,-,0.0,0.0,0.0,P-3m1,164,1997.159,2119.429,1.149,1.149,0.357,2.012,2.014,0.093,3.161,3.162,0.449,high,11.097,2.855,0.108,2.129,12.498,0.133,0.000,0.000,9.510,AB2,391.136,6w,1188,BaI2-080cc67ae6c9,cmr,-0.0,433.555
BiTiAs,0.0,9.373,9.373,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-16.288,4.334,-,-,-,-,-,4.751,True,unknown,-,10.537,-,ABC-156-ac,3.019,4.297,0.53,-0.417,-0.087,0.0,0.0,z,-,NM,MXY Janus,False,False,7caa7f7502d633b4eadbc8d35919d763,-,-,-,-0.028,-,-,0.0,3,-,1,-0.035,tree/ABC/AsBiTi/AsBiTi-7caa7f7502d6,TTF,3m,29e854d19540e4e29f3a6ac5ac358acf,-,-,-,0.0,0.0,0.0,P3m1,156,3380.235,3376.928,36.751,36.751,0.507,-,-,-,-,-,-,high,59.737,29.258,0.098,29.188,59.620,0.085,0.000,0.000,31.867,ABC,331.769,6w,1296,AsBiTi-7caa7f7502d6,cmr,-0.604,192.123
Bi2S4,0.0,2.577,12.713,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-24.96,2.719,-,-,-,-,-,4.55,True,unknown,-,35.583,-,AB2-12-di,3.982,3.129,0.423,-1.831,0.117,0.0,0.0,z,-,NM,-,True,False,efdf87bfd6b0ca15551dcc9b62d36d7a,-,-,-,-0.263,-,-,0.0,6,-,1,-0.0,tree/AB2/BiS2/Bi2S4-efdf87bfd6b0,TTF,2/m,469c2702358fb1d8b97b90bf7c2c7171,-,-,-,0.0,0.0,0.0,C2/m,12,4895.453,3509.382,2.099,5.235,0.280,-,-,-,-,-,-,low,61.086,8.278,-0.001,7.749,31.392,0.001,0.000,0.000,-1.796,AB2,546.201,6w,1189,Bi2S4-efdf87bfd6b0,cmr,-0.0,582.507
Mo2C,0.0,7.760,7.760,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,1,-29.265,5.07,-,-,-,-,-,4.782,True,unknown,-,7.842,-,AB2-164-bd,3.407,3.373,0.973,0.288,0.786,0.0,0.0,z,-,NM,MXene,True,False,e2a79d856889e94f16f908df0942f809,-,-,-,-2.596,-,-,0.0,3,-,1,-0.0,tree/AB2/CMo2/CMo2-e2a79d856889,TTF,-3m,70c71cc509beab83b8bd2bad3d534287,-,-,-,0.0,0.0,0.0,P-3m1,164,5918.444,5920.920,29.488,29.488,0.477,-,-,-,-,-,-,high,151.252,2.334,-1.787,2.474,151.378,-1.791,0.000,0.000,148.917,AB2,203.911,6w,1190,CMo2-e2a79d856889,cmr,-0.0,136.093
CaI2,2.946,0.000,0.000,5.912,4.063,-1.421,1.965,-0.125,1.109,0.401,3.281,6.173,4.443,3.49,1.593,3.329,high,3,-9.645,3.284,-0.677,-0.676,-3.071,-4.804,-3.662,4.882,True,unknown,-,16.657,-,AB2-187-bi,0.0,0.0,0.108,-1.598,-1.559,0.0,0.0,z,-,NM,-,False,False,066f40f26c53b089ccaca26b31fbde65,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/CaI2/CaI2-066f40f26c53,TTF,-6m2,35e5d7f632390796abe3db5c22fe1556,-,-,-,0.0,0.0,0.0,P-6m2,187,2869.220,2855.834,1.434,1.434,0.414,2.054,1.841,0.074,3.488,3.275,0.489,high,24.119,8.322,-0.161,8.569,23.894,-0.189,0.000,0.000,15.317,AB2,293.887,6w,1191,CaI2-066f40f26c53,cmr,-0.0,314.792
CdI2,2.335,0.000,0.000,-,3.290,0.430,3.387,-1.158,-,-0.866,2.335,-,3.290,2.658,-,2.603,high,3,-5.765,2.565,-7.162,-0.848,-3.494,-,-4.156,4.891,True,unknown,-,19.974,-,AB2-115-dg,0.0,0.0,0.0,-2.326,-0.627,0.0,0.0,z,-,NM,-,False,False,d63ad801fdb51365cd041ac5b2b1b78c,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/CdI2/CdI2-d63ad801fdb5,TTF,-42m,2d617ed4df18be741c09af753bed3852,-,-,-,0.0,0.0,0.0,P-4m2,115,2286.616,2286.614,1.472,1.468,0.383,2.229,2.230,3.430,3.702,3.697,3.813,high,15.919,-0.977,0.000,-1.169,15.919,0.000,0.000,0.000,1.322,AB2,366.223,6w,1192,CdI2-d63ad801fdb5,cmr,-0.0,379.546
CoF2,0.302,0.000,0.000,-,-,1.190,2.024,-3.617,-,-,0.302,-,-,0.297,-,0.297,high,3,-16.475,1.874,-1.671,-1.654,-3.918,-,-,5.642,True,unknown,-0.014,10.942,Trivial,AB2-115-dg,0.0,0.0,0.0,-3.768,-1.691,0.396,0.396,x,3.000,FM,-,False,True,2f2f01730826e52dfc95095859f8faed,-,-,1.500,-0.000,-,-4.414,0.0,3,4,2,0.0,tree/AB2/CoF2/CoF2-2f2f01730826,TTF,-42m,c2f57a5de1d08d5edaedfa063a662005,-,-,-0.214,-262113.994,-262113.994,-262113.598,P-4m2,115,4227.050,4226.602,1.699,1.698,0.204,1.907,1.907,0.649,3.606,3.605,0.853,low,26.283,0.180,-0.000,0.177,26.277,-0.000,0.000,0.000,-1.632,AB2,96.93,6w,1193,CoF2-2f2f01730826,cmr,0.0,192.455
Co2Se4,0.0,2.061,4.877,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-32.003,3.979,-,-,-,-,-,5.217,True,unknown,-,19.606,-,AB2-11-e,7.704,6.065,0.044,-1.239,-0.269,0.0,0.0,z,-,NM,TMDC-T',True,False,b33f49e6724fada9d58fb5a17b979dc9,-,-,-,-3.047,-,-,0.0,6,-,1,-0.0,tree/AB2/CoSe2/Co2Se4-b33f49e6724f,TTF,2/m,83fee7b9a243077b57d494db52247e9e,-,-,-,0.0,0.0,0.0,P2_1/m,11,4322.982,3965.466,16.958,24.567,0.459,-,-,-,-,-,-,low,68.655,14.488,-0.012,12.939,57.769,-0.108,0.000,0.000,-5.942,AB2,433.75,6w,1194,Co2Se4-b33f49e6724f,cmr,-0.0,347.694
CrCl2,0.0,2.922,2.922,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-15.242,3.309,-,-,-,-,-,5.4,True,unknown,-0.003,10.618,-,AB2-187-bi,3.09,3.101,0.284,-2.09,-0.754,0.264,0.264,y,4.000,FM,-,False,True,75741b4ecfeeafa481d8962bc23ec93e,-,-,2.000,-7.027,-,-5.767,0.0,3,6,2,0.0,tree/AB2/CrCl2/CrCl2-75741b4ecfee,TTF,-6m2,b20493feef92ecf6e9933438b16986ef,-,-,-0.066,-160767.869,-160767.869,-160767.605,P-6m2,187,5005.012,,15.584,15.584,0.717,-,-,-,-,-,-,low,48.144,21.229,0.008,112.186,-56.181,-0.002,0.000,0.000,-203.957,AB2,122.896,6w,1195,CrCl2-75741b4ecfee,cmr,0.0,191.88
CrS2,0.0,2.282,2.282,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-19.057,4.249,-,-,-,-,-,5.081,True,unknown,-,8.137,-,AB2-164-bd,0.517,0.532,0.175,-0.832,-0.497,0.0,0.0,z,-,NM,TMDC-T,True,False,33cb31f4432a83e0a06cc06505d61f1e,-,-,-,-15.623,-,-,0.0,3,-,1,0.0,tree/AB2/CrS2/CrS2-33cb31f4432a,TTF,-3m,a5ff6855c4aad01f78de99cf5ab8505d,-,-,-,0.0,0.0,0.0,P-3m1,164,6351.241,6335.763,37.676,37.676,0.958,-,-,-,-,-,-,high,95.591,0.344,-0.100,0.731,95.125,-0.097,0.000,0.000,94.762,AB2,116.116,6w,1196,CrS2-33cb31f4432a,cmr,0.0,146.128
CuBr2,0.0,3.667,3.667,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,3,-7.654,3.038,-,-,-,-,-,6.214,True,unknown,-1.790,11.992,-,AB2-164-bd,4.022,3.829,0.054,-3.176,-0.27,2.44,2.489,y,0.983,FM,-,True,True,22f552801137a48ee4353096650536e1,-,-,0.500,-0.126,-,10.400,0.0,3,6,2,0.0,tree/AB2/CuBr2/CuBr2-22f552801137,TTF,-3m,12d950bee18136b3bbbde32fb6be2b9b,-,-,0,-186224.296,-186224.345,-186221.856,P-3m1,164,,,62.077,62.077,0.385,-,-,-,-,-,-,low,-62.633,108.734,-0.341,128.845,-84.429,-0.309,-0.000,0.000,-262.090,AB2,223.354,6w,1197,CuBr2-22f552801137,cmr,0.0,214.834
CuO2,0.0,3.735,3.735,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-14.087,2.775,-,-,-,-,-,7.724,True,unknown,-0.011,7.546,-,AB2-164-bd,1.409,1.402,0.303,-4.95,-0.054,0.024,0.024,x,0.997,FM,-,True,True,88b0c3cd1645b68cde4b317ccaa789ca,-,-,0.500,-0.371,-,37.174,0.0,3,6,2,-0.0,tree/AB2/CuO2/CuO2-88b0c3cd1645,TTF,-3m,fe86a0ad6da08c1b5cf068fbb3198153,-,-,0,-247608.827,-247608.827,-247608.803,P-3m1,164,5896.547,5868.613,20.634,20.634,0.496,-,-,-,-,-,-,high,73.102,45.710,1.149,48.669,72.411,3.105,0.000,0.000,23.087,AB2,95.544,6w,1198,CuO2-88b0c3cd1645,cmr,-0.0,127.269
FeBr2,0.733,0.000,0.000,1.458,3.272,0.655,1.665,-0.643,-0.146,0.369,0.733,1.458,3.275,0.741,1.392,0.741,high,2,-12.796,3.278,-13.907,-2.506,-1.376,-1.604,-2.903,4.288,True,unknown,-,11.262,-,AB2-164-bd,0.0,0.0,0.253,-1.01,-0.195,0.0,0.0,z,-,NM,-,True,False,9ca1eca1fa7fe91c58b23b489fc06eec,-,-,-,-0.000,-,-,0.0,3,-,1,0.0,tree/AB2/FeBr2/FeBr2-9ca1eca1fa7f,TTF,-3m,926020c44e2971d3bb402f317d2b9177,8101148,409571,-,0.0,0.0,0.0,P-3m1,164,4608.112,4576.769,4.634,4.634,0.382,0.144,0.145,0.008,4.778,4.778,0.390,high,67.521,15.092,-0.008,15.603,66.606,-0.004,-0.000,0.000,50.121,AB2,215.653,6w,1199,FeBr2-9ca1eca1fa7f,cmr,0.0,198.454
FeS2,0.0,7.732,8.073,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,high,2,-17.574,2.686,-,-,-,-,-,5.366,True,unknown,-,12.03,-,AB2-115-dg,1.203,2.183,0.405,-2.679,-0.125,0.0,0.0,z,-,NM,-,False,False,3eb0ea94f146cd2f27fc5036731d6d97,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/FeS2/FeS2-3eb0ea94f146,TTF,-42m,6ad89c27066b24753d9c59df64a72c32,-,-,-,0.0,0.0,0.0,P-4m2,115,4666.248,4639.915,19.607,18.831,0.440,-,-,-,-,-,-,high,36.055,18.647,-0.000,18.507,35.650,-0.000,0.000,0.000,11.140,AB2,119.965,6w,1200,FeS2-3eb0ea94f146,cmr,-0.0,220.773
GaBr2,0.0,5.129,5.129,-,-,-,-,-,-,-,0.0,-,-,0.0,-,0.0,low,2,-7.458,3.075,-,-,-,-,-,5.6,True,unknown,-,12.432,-,AB2-187-bi,2.733,2.553,0.332,-2.525,-0.462,0.0,0.0,z,-,NM,-,False,False,e28ede89672e3777e3885ed7b58d603a,-,-,-,-0.501,-,-,0.0,3,-,1,-0.0,tree/AB2/GaBr2/GaBr2-e28ede89672e,TTF,-6m2,28223e41d6c994a843e0173a71f8a303,-,-,-,0.0,0.0,0.0,P-6m2,187,2860.410,2859.006,2.527,2.527,0.408,-,-,-,-,-,-,high,25.084,11.268,0.005,11.192,25.059,0.005,0.000,0.000,14.196,AB2,229.531,6w,1201,GaBr2-e28ede89672e,cmr,-0.0,230.724
Br2Ge,1.302,0.000,0.000,-,2.001,3.734,3.734,-2.708,-,-2.462,2.256,-,3.134,2.302,-,1.368,low,3,-9.101,2.104,-3.514,-2.573,-4.011,-,-4.463,5.464,True,unknown,-,19.707,-,AB2-115-dg,0.0,0.0,0.136,-3.36,-0.472,0.0,0.0,z,-,NM,-,False,False,204ef2affa1077e3ca64fb99d72d96f3,-,-,-,-3.401,-,-,0.0,3,-,1,0.0,tree/AB2/GeBr2/GeBr2-204ef2affa10,TTF,-42m,f03e026097a7647ac6e3c0cb93df95ce,-,-,-,0.0,0.0,0.0,P-4m2,115,1229.511,1229.511,1.573,1.603,0.321,7.625,8.357,7.103,9.198,9.960,7.424,low,2.961,4.197,-0.000,4.197,2.961,-0.000,0.000,0.000,0.453,AB2,232.438,6w,1202,GeBr2-204ef2affa10,cmr,0.0,362.493
GeS2,0.0,4.764,4.764,-,0.118,-,-,-,-,-2.214,0.0,-,1.121,0.0,-,0.0,low,1,-12.25,3.86,-,-,-,-,-2.332,5.961,True,unknown,-,9.896,-,AB2-187-bi,1.246,1.252,0.487,-2.101,0.141,0.0,0.0,z,-,NM,TMDC-H,False,False,886d4d432874ef946d5d2e681d8013eb,-,-,-,-4.231,-,-,0.0,3,-,1,-0.0,tree/AB2/GeS2/GeS2-886d4d432874,TTF,-6m2,978a57c2274402e54c2980021520b16c,-,-,-,0.0,0.0,0.0,P-6m2,187,6487.427,6481.726,21.368,21.368,0.390,-,-,-,-,-,-,high,96.571,27.054,0.054,27.186,96.402,0.054,0.000,0.000,69.410,AB2,136.75,6w,1203,GeS2-886d4d432874,cmr,-0.0,178.892
HfBr2,0.732,0.000,0.000,1.759,1.226,0.571,0.857,1.361,1.761,1.711,1.548,2.563,2.101,1.622,0.808,0.849,high,3,-14.145,3.986,-0.350,-0.350,0.629,0.002,0.484,2.991,True,unknown,-,10.61,-,AB2-187-bi,0.0,0.0,0.004,0.995,-1.157,0.0,0.0,z,-,NM,-,False,False,84e9162c0c5379d650b2a27558303d7a,-,-,-,-0.000,-,-,0.0,3,-,1,0.0,tree/AB2/HfBr2/HfBr2-84e9162c0c53,TTF,-6m2,fbe127f4be49965c0b852f58e133ce8c,-,-,-,0.0,0.0,0.0,P-6m2,187,3971.526,3967.519,5.195,5.195,0.404,0.265,0.264,0.012,5.459,5.459,0.416,high,83.512,14.786,0.013,14.377,83.344,0.012,0.000,0.000,69.151,AB2,338.298,6w,1204,HfBr2-84e9162c0c53,cmr,0.0,198.379
HfO2,4.777,0.000,0.000,7.939,6.593,0.970,3.111,0.143,1.550,0.716,4.991,8.192,6.827,5.027,2.164,4.814,high,2,-27.664,3.231,-2.786,-1.185,-4.633,-6.389,-5.877,5.476,True,unknown,-,9.172,-,AB2-164-bd,0.0,0.0,0.214,-2.245,-3.303,0.0,0.0,z,-,NM,-,True,False,a555d8dafaf269607228be1fc75afc11,-,-,-,-0.000,-,-,0.0,3,-,1,-0.0,tree/AB2/HfO2/HfO2-a555d8dafaf2,TTF,-3m,a8875f27343d850e46ce12695c4b330c,-,-,-,0.0,0.0,0.0,P-3m1,164,6584.497,6587.566,1.198,1.198,0.209,7.049,7.010,0.072,8.247,8.208,0.282,high,165.212,36.234,0.038,35.911,165.366,0.058,0.000,0.000,128.497,AB2,210.488,6w,1205,HfO2-a555d8dafaf2,cmr,-0.0,155.424
HgCl2,2.447,0.000,0.000,4.618,3.599,0.566,0.566,-2.300,-1.694,-2.078,2.447,4.618,3.599,2.522,1.565,2.522,high,3,-6.346,2.876,-1.026,-1.026,-4.747,-6.312,-5.677,6.399,True,unknown,-,13.815,-,AB2-164-bd,0.0,0.0,0.026,-3.523,-0.63,0.0,0.0,z,-,NM,-,True,False,31f13a321b70723151e68ca61ebd29e9,-,-,-,-0.000,-,-,0.0,3,-,1,0.0,tree/AB2/HgCl2/HgCl2-31f13a321b70,TTF,-3m,8f77ce6f436aa57cb9b3f960cc12cdf6,-,-,-,0.0,0.0,0.0,P-3m1,164,2138.744,1321.964,1.492,1.492,0.312,-,-,-,-,-,-,low,14.927,27.097,0.534,20.889,5.703,0.588,0.000,0.000,-12.653,AB2,271.492,6w,1206,HgCl2-31f13a321b70,cmr,0.0,247.551
